2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-1_res.mat, 5, 3797 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-1_res.mat, 2, 3360 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-1_res.mat, 8, 11181 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 1, 9623 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 6, 12219 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 8067 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 2, 8019 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 3673 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 17622 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 12531 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 9283 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 5, 4396 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 6, 9312 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 2, 4202 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 2, 14599 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 5354 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 6926 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 1, 3323 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 1, 4427 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 2, 3307 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 1, 3277 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 5042 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 3285 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 3748 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 9, 9080 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 2, 10596 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 1, 3353 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 2, 6721 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 2, 8456 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 0, 3821 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 1, 7320 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 6, 8487 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 7758 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 3, 3287 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 4, 8459 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 0, 7552 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 2, 3485 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-2_res.mat, 1, 3117 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 1, 8804 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 5, 6558 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 4, 3297 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 1, 8292 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 1, 3093 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 3, 4225 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 4, 7036 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 5, 16954 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 4, 11854 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 1, 8662 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 8, 8994 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 4, 9470 
2610, 2018-11-21_HDProject_Stain2_Slides1&2_63x-Region 008_-3_res.mat, 4, 4799 
