2712, 2018-11-21_hdproject_stain2_slides1&2_63x-2712_slice1, 0, 9559, 8.941866e+03, 7.519500e+03 
2703, 2018-11-21_hdproject_stain2_slides1&2_63x-2703_slice1, 1, 6032, 4.207577e+03, 5.003428e+03 
2703, 2018-11-21_hdproject_stain2_slides1&2_63x-2703_slice1, 3, 6364, 4.208209e+03, 5.001989e+03 
2703, 2018-11-21_hdproject_stain2_slides1&2_63x-2703_slice1, 6, 6090, 4.207766e+03, 5.000720e+03 
2703, 2018-11-21_hdproject_stain2_slides1&2_63x-2703_slice1, 4, 8321, 7.163402e+03, 7.602930e+03 
2703, 2018-11-21_hdproject_stain2_slides1&2_63x-2703_slice1, 0, 3377, 6.149990e+03, 4.026520e+03 
2703, 2018-11-21_hdproject_stain2_slides1&2_63x-2703_slice1, 4, 5634, 4.206647e+03, 5.003111e+03 
2703, 2018-11-21_hdproject_stain2_slides1&2_63x-2703_slice1, 4, 8143, 7.161303e+03, 7.606287e+03 
2703, 2018-11-21_hdproject_stain2_slides1&2_63x-2703_slice1, 4, 5832, 6.486008e+03, 1.833493e+03 
2712, 2018-11-21_hdproject_stain2_slides1&2_63x-2712_slice2, 2, 12476, 6.490633e+03, 2.883770e+03 
2712, 2018-11-21_hdproject_stain2_slides1&2_63x-2712_slice3, 4, 5984, 6.560587e+03, 8.926298e+03 
2712, 2018-11-21_hdproject_stain2_slides1&2_63x-2712_slice3, 1, 9379, 6.716419e+03, 2.811686e+03 
2712, 2018-11-21_hdproject_stain2_slides1&2_63x-2712_slice3, 3, 6123, 6.559360e+03, 8.926406e+03 
2610, 2018-11-21_hdproject_stain2_slides1&2_63x-2610_slice1, 1, 7250, 9.189423e+03, 7.598031e+03 
2610, 2018-11-21_hdproject_stain2_slides1&2_63x-2610_slice1, 2, 10695, 1.105581e+04, 7.905489e+03 
2610, 2018-11-21_hdproject_stain2_slides1&2_63x-2610_slice1, 4, 8979, 1.016079e+04, 9.477800e+03 
2610, 2018-11-21_hdproject_stain2_slides1&2_63x-2610_slice1, 2, 3392, 1.109845e+04, 8.053855e+03 
2610, 2018-11-21_hdproject_stain2_slides1&2_63x-2610_slice1, 3, 10096, 9.499567e+03, 3.316562e+03 
2610, 2018-11-21_hdproject_stain2_slides1&2_63x-2610_slice1, 6, 11093, 1.015425e+04, 6.685823e+03 
2610, 2018-11-21_hdproject_stain2_slides1&2_63x-2610_slice1, 2, 6121, 1.242483e+04, 7.285847e+03 
2610, 2018-11-21_hdproject_stain2_slides1&2_63x-2610_slice1, 3, 24313, 6.419771e+03, 9.233407e+03 
2610, 2018-11-21_hdproject_stain2_slides1&2_63x-2610_slice1, 1, 13028, 1.112799e+04, 1.001464e+04 
2610, 2018-11-21_hdproject_stain2_slides1&2_63x-2610_slice1, 2, 3360, 9.529685e+03, 8.572630e+03 
2610, 2018-11-21_hdproject_stain2_slides1&2_63x-2610_slice1, 8, 11181, 1.223205e+04, 8.707399e+03 
