exp1_2553_slice1_18-11-15, 1, 0.487475, 278
exp1_2553_slice1_18-11-15, 2, 0.351667, 173
exp1_2553_slice1_18-11-15, 3, 0.121254, 89
exp1_2553_slice1_18-11-15, 4, 0.976898, 1160
exp1_2553_slice1_18-11-15, 5, 0.240458, 142
exp1_2553_slice1_18-11-15, 6, 0.140933, 85
exp1_2553_slice1_18-11-15, 7, 0.388976, 471
exp1_2553_slice1_18-11-15, 8, 0.130888, 79
exp1_2553_slice1_18-11-15, 9, 0.343467, 229
exp1_2553_slice1_18-11-15_2, 1, 0.132836, 89
exp1_2553_slice1_18-11-15_2, 2, 1.474212, 1160
exp1_2553_slice1_18-11-15_2, 3, 0.204071, 142
exp1_2553_slice1_18-11-15_2, 4, 0.140933, 85
exp1_2553_slice1_18-11-15_2, 5, 0.508999, 471
exp1_2553_slice2_18-11-15, 1, 0.099397, 58
exp1_2553_slice2_18-11-15, 2, 0.453340, 507
exp1_2553_slice2_18-11-15, 3, 0.393824, 191
exp1_2553_slice2_18-11-15, 4, 0.707276, 487
exp1_2553_slice2_18-11-15, 5, 0.227891, 360
exp1_2553_slice2_18-11-15, 6, 1.107509, 892
exp1_2553_slice3_18-11-15, 1, 0.139874, 96
exp1_2553_slice3_18-11-15, 2, 0.582862, 630
exp1_2553_slice3_18-11-15, 3, 0.297921, 258
exp1_2553_slice3_18-11-15, 4, 0.754304, 548
exp1_2553_slice3_18-11-15, 5, 0.108514, 90
exp1_2553_slice3_18-11-15, 6, 0.399063, 378
exp1_2734_slice3_18-11-15, 1, 0.113232, 72
exp1_2734_slice3_18-11-15, 2, 0.025256, 19
exp1_2734_slice3_18-11-15, 3, 0.095074, 62
exp1_2734_slice3_18-11-15, 4, 0.044876, 33
exp1_2734_slice3_18-11-15, 5, 0.114276, 85
exp1_2734_slice3_18-11-15, 6, 0.168649, 146
exp1_2734_slice3_18-11-15, 7, 0.017220, 21
exp1_2734_slice3_18-11-15, 8, 0.431431, 353
exp1_2734_slice3_18-11-15, 9, 0.052390, 54
exp1_2734_slice3_18-11-15, 10, 0.024212, 11
exp1_2734_slice3_18-11-15, 11, 0.300666, 235
exp1_2734_slice3_18-11-15, 12, 0.095074, 99
exp1_2734_slice3_18-11-15, 13, 0.064182, 56
exp1_2734_slice3_18-11-15, 14, 0.137131, 140
exp1_2734_slice3_18-11-15, 15, 0.125860, 100
exp1_2734_slice3_18-11-15, 16, 0.084116, 82
exp1_2734_slice3_18-11-15, 17, 0.283864, 220
exp1_2734_slice3_18-11-15, 18, 0.051450, 43
exp1_2734_slice3_18-11-15, 19, 0.188269, 213
exp1_2734_slice3_18-11-15, 20, 0.033187, 13
exp1_2734_slice3_18-11-15, 21, 0.404088, 576
exp1_2734_slice3_18-11-15, 22, 0.041849, 41
exp1_2783_slice1_18-11-15, 1, 0.297796, 249
exp1_2783_slice1_18-11-15, 2, 0.066925, 51
exp1_2783_slice1_18-11-15, 3, 0.458987, 368
exp1_2783_slice1_18-11-15, 4, 0.390634, 291
exp1_2783_slice1_18-11-15, 5, 0.388900, 303
exp1_2783_slice1_18-11-15, 6, 0.083554, 68
exp1_2783_slice1_18-11-15, 7, 0.363293, 654
exp1_2783_slice1_18-11-15, 8, 0.319628, 370
exp1_2783_slice2_18-11-15, 1, 0.734246, 863
exp1_2783_slice2_18-11-15, 2, 0.467854, 525
exp1_2783_slice2_18-11-15, 3, 0.218284, 298
exp1_2783_slice2_18-11-15, 4, 0.366405, 312
exp1_2787_slice2_18-11-15, 1, 0.137182, 209
exp1_2787_slice2_18-11-15, 2, 0.033225, 45
exp1_2787_slice2_18-11-15, 3, 0.342242, 449
exp1_2791_slice1_18-11-15, 1, 0.038062, 8
exp1_2791_slice1_18-11-15, 2, 0.361533, 233
exp1_2791_slice1_18-11-15, 3, 0.117435, 85
exp1_2791_slice1_18-11-15, 4, 0.093634, 50
exp1_2791_slice1_18-11-15, 5, 0.178669, 131
exp1_2791_slice2_18-11-15, 1, 0.032680, 15
exp1_2791_slice2_18-11-15, 2, 0.216969, 208
exp1_2791_slice2_18-11-15, 3, 0.490507, 404
exp1_2791_slice2_18-11-15, 4, 0.178912, 149
exp1_2791_slice2_18-11-15, 5, 0.277365, 481
exp1_2791_slice3_18-11-15, 1, 0.068415, 49
exp1_2791_slice3_18-11-15, 2, 0.308179, 200
exp1_2791_slice3_18-11-15, 3, 0.104483, 79
exp1_2795_slice1_18-11-15, 1, 0.312052, 144
exp1_2795_slice1_18-11-15, 2, 0.621130, 408
exp1_2795_slice1_18-11-15, 3, 0.883794, 530
exp1_2795_slice1_18-11-15, 4, 0.359848, 251
exp1_2795_slice1_18-11-15, 5, 0.282631, 92
exp1_2795_slice1_18-11-15, 6, 0.786397, 712
exp1_2795_slice1_18-11-15, 7, 0.494206, 436
exp1_2795_slice2_18-11-15, 1, 0.521210, 506
exp1_2795_slice2_18-11-15, 2, 0.323924, 325
exp1_2795_slice2_18-11-15, 3, 0.575978, 644
exp1_2795_slice2_18-11-15, 4, 0.532816, 341
exp1_2795_slice2_18-11-15, 5, 0.335631, 284
exp1_2795_slice2_18-11-15, 6, 0.335835, 488
exp1_2795_slice2_18-11-15, 7, 0.812864, 518
exp1_2795_slice2_18-11-15, 8, 0.060570, 44
exp1_2795_slice2_18-11-15, 9, 0.276689, 176
exp1_2795_slice2_18-11-15, 10, 0.049169, 67
exp1_2795_slice2_18-11-15, 11, 0.181711, 141
exp1_2795_slice2_18-11-15, 12, 0.548493, 485
exp1_2795_slice3_18-11-15, 1, 1.289155, 1517
exp1_2795_slice3_18-11-15, 2, 0.023247, 18
exp1_2795_slice3_18-11-15, 3, 0.256030, 176
exp1_2795_slice3_18-11-15, 4, 1.189570, 1089
exp1_region_019_15-2-19, 1, 0.548689, 612
exp1_region_019_15-2-19, 2, 0.190703, 71
exp2_2745_slice1_19-02-15, 1, 0.068463, 53
exp2_2745_slice1_19-02-15, 2, 0.179677, 252
exp2_2745_slice2_18-11-15, 1, 0.246251, 197
exp2_2745_slice2_18-11-15, 2, 0.041163, 31
exp2_2745_slice2_18-11-15, 3, 0.061589, 44
exp2_2745_slice3_18-11-15, 1, 0.075231, 67
exp2_2774_slice3_19-02-15, 1, 0.209545, 169
exp2_2775_slice1_18-11-15, 1, 0.030687, 28
exp2_2775_slice1_18-11-15, 2, 0.358695, 349
exp2_2775_slice1_18-11-15, 3, 0.139065, 130
exp2_2775_slice2_19-02-15, 1, 0.191915, 147
exp2_2775_slice2_19-02-15, 2, 0.605764, 807
exp2_2775_slice2_19-02-15, 3, 0.127736, 152
